DISTRITO FEDERAL,CLAVE MUNICIPIO,SECCION,POBTOT,GRAPROES,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,OCUPVIVPAR,PROM_OCUP,VPH_AUTOM,VPH_PC,VPH_CEL,VPH_INTER
4,1,1,1350,10.55,665,504,648,17,328,1022,1350,3.17,155,157,387,243
4,1,2,1230,9.63,640,370,630,10,232,993,1230,3.47,89,80,307,148
4,1,3,2765,9.3,1393,816,1355,38,624,2138,2765,3.59,150,151,705,312
4,1,4,1021,9.43,490,353,482,8,292,729,1021,3.47,86,82,268,152
4,1,5,786,10,383,273,376,7,180,606,786,3.33,67,80,214,127
4,1,6,956,10.03,459,349,445,14,227,729,956,3.19,79,84,260,158
4,1,7,1349,10.22,651,469,628,23,284,1062,1344,3.46,106,124,355,207
4,1,8,889,10.47,454,303,443,11,183,705,889,3.16,88,94,250,153
4,1,9,951,9.35,466,303,461,5,254,697,951,3.69,71,63,241,130
4,1,10,1222,8.94,673,343,661,12,310,907,1222,3.21,81,72,336,146
4,1,11,1016,8.36,522,308,508,14,280,735,1016,3.4,53,49,264,116
4,1,12,824,9.8,417,292,407,10,133,691,824,2.89,82,66,263,123
4,1,13,1371,10.33,717,467,706,11,273,1093,1371,3.06,157,158,407,250
4,1,14,556,9.85,277,206,262,15,105,451,556,3.12,47,45,153,92
4,1,15,964,9.64,470,337,457,13,180,784,964,3.38,74,71,265,135
4,1,16,888,8.85,433,286,422,11,242,645,888,3.26,29,44,223,89
4,1,17,910,10.03,491,272,479,12,214,696,910,3.36,75,92,241,133
4,1,18,2012,9.05,1041,602,1035,6,427,1581,2012,3.59,121,129,510,247
4,1,19,3611,9.47,1777,1081,1734,43,905,2705,3594,3.48,246,272,945,424
4,1,20,1206,9.19,624,341,619,5,421,776,1206,3.51,83,106,316,241
4,1,21,1246,9.96,608,436,601,7,346,886,1246,3.12,125,126,351,264
4,1,22,1425,10.37,744,466,737,7,334,1090,1425,3.41,133,151,360,267
4,1,23,2012,11.34,1037,668,1013,24,374,1637,2012,3.13,265,303,585,396
4,1,24,1398,14.19,644,557,634,10,155,1242,1398,2.91,292,294,451,385
4,1,25,1556,13.99,737,622,722,15,189,1365,1556,3.01,296,328,488,421
4,1,26,1102,12.01,562,414,554,8,203,897,1102,3.07,173,200,334,255
4,1,27,2461,10.19,1260,815,1241,19,590,1869,2461,3.25,217,222,669,408
4,1,28,1771,9.31,876,534,862,14,455,1313,1771,3.78,84,120,418,203
4,1,29,1848,10.85,1001,565,984,17,303,1544,1838,3.42,202,228,490,318
4,1,30,2250,9.78,1204,631,1166,38,390,1860,2250,3.54,156,214,587,308
4,1,31,4906,9.93,2694,1321,2649,45,926,3978,4906,3.4,389,409,1302,606
4,1,32,1132,11.33,587,356,579,8,156,976,1132,2.9,132,160,367,253
4,1,33,2081,11.72,1085,718,1059,26,399,1682,2081,3.24,295,332,591,428
4,1,34,1134,10.71,560,414,544,16,249,885,1134,3.22,112,136,319,196
4,1,35,932,11.05,462,315,450,12,169,762,932,3.14,106,125,268,177
4,1,36,1763,10.64,919,560,904,15,323,1438,1763,3.4,198,223,481,310
4,1,37,1613,10.66,789,563,771,18,438,1175,1613,3.45,156,180,429,276
4,1,38,1884,11.84,943,666,922,21,488,1395,1884,3.27,237,286,526,368
4,1,39,2208,12.42,1232,676,1197,35,424,1780,2199,3.16,349,373,644,517
4,1,40,1419,12.84,805,409,787,18,281,1138,1419,2.92,246,266,451,357
4,1,41,1641,11.69,845,580,833,12,348,1293,1641,2.99,218,233,500,348
