ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,TOTAL_CALCULADO,FLAG_CALIDAD,OBSERVACIONES
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2134,2,183,174,28,5,18,24,118,142,13,54,11,10,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0,6,3,799,0.0,36.0,835,1375,835.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2135,2,200,135,21,15,18,22,105,178,7,42,17,18,7,2,0,0,0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0,6,2,801,0.0,28.0,829,1280,829.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2136,4,276,210,34,28,31,60,177,283,15,61,10,15,14,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0,6,2,1231,0.0,63.0,1294,2135,1294.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2137,3,320,190,36,29,57,56,198,233,10,59,16,16,23,1,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0,5,2,1258,0.0,35.0,1293,2013,1293.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2138,2,222,235,15,17,12,20,128,156,8,45,24,15,9,2,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0,0,1,913,0.0,31.0,944,1400,944.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2139,2,227,148,21,12,37,22,113,246,10,46,39,16,8,5,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,2,954,0.0,43.0,997,1470,997.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2140,3,361,219,23,12,52,42,214,183,12,54,45,17,10,2,0,0,0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0,5,8,1270,0.0,22.0,1292,1871,1292.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2141,2,179,127,10,11,9,16,83,97,3,8,11,13,23,0,0,0,0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0,2,0,599,0.0,15.0,614,854,614.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2142,3,367,230,17,33,21,44,185,147,3,57,17,12,25,1,0,0,0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1,1,0,1174,0.0,29.0,1203,1739,1203.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2143,1,132,110,8,6,9,13,71,85,6,18,10,3,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,3,1,496,0.0,10.0,506,741,506.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2144,1,170,93,7,4,10,4,76,94,1,16,9,4,3,1,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0,1,1,499,0.0,7.0,506,687,506.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2145,2,184,170,11,15,15,10,110,145,5,31,16,9,7,3,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1,4,2,744,2.0,32.0,778,1275,778.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2146,2,183,118,15,6,33,2,85,82,6,32,8,13,3,2,0,0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0,1,3,598,0.0,26.0,624,965,624.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2147,3,274,183,28,15,7,8,128,140,7,49,17,115,5,1,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0,2,2,984,2.0,39.0,1025,1680,1025.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2148,3,244,232,48,13,94,12,166,193,26,72,28,29,2,4,0,0,0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0,0,1,1174,2.0,37.0,1213,2093,1213.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2149,2,246,111,14,7,11,14,133,95,10,19,10,4,13,0,0,0,0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,0,5,3,710,2.0,19.0,731,1074,731.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2150,1,121,100,14,4,13,0,41,54,1,13,6,11,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3,2,389,0.0,18.0,407,578,407.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2151,1,191,103,12,8,2,28,54,52,4,5,15,8,2,1,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,3,3,494,0.0,5.0,499,733,499.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2152,3,231,148,27,9,14,30,139,127,4,17,26,8,2,1,0,0,0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0,4,0,795,0.0,26.0,821,607,821.0,EXCEDE_LISTA,Total votos mayor a lista nominal
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2153,4,350,193,36,23,17,24,172,138,7,53,29,18,12,5,0,0,0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0,1,0,1088,0.0,50.0,1138,1528,1138.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2154,2,202,97,5,8,11,18,121,61,4,13,16,11,7,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,1,2,583,0.0,12.0,595,831,595.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2155,3,419,161,42,8,17,41,179,201,14,26,27,13,12,1,0,0,0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,0,1,3,1185,0.0,27.0,1212,1788,1212.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2156,1,75,97,14,8,16,5,32,146,4,23,14,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,445,0.0,14.0,459,708,459.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2157,1,97,61,7,4,5,8,66,62,4,22,21,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,365,0.0,5.0,370,560,370.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2158,2,231,183,20,13,16,12,145,138,11,44,17,19,5,1,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,5,3,867,0.0,30.0,897,1370,897.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2159,2,273,220,11,13,7,20,131,156,6,48,15,17,6,3,0,0,0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0,6,3,947,0.0,29.0,976,1495,976.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2160,3,238,159,19,10,16,12,147,134,8,70,20,17,10,4,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0,2,3,873,0.0,41.0,914,1517,914.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2161,3,280,195,46,17,13,11,212,183,15,57,37,16,4,6,0,0,0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0,3,3,1111,1.0,33.0,1145,2131,1145.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2162,2,195,149,35,12,14,14,138,136,12,51,21,10,4,1,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0,4,2,804,0.0,34.0,838,1383,838.0,VALIDO,
