CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXP,CAND_IND1,PRI_PRD,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,SECCION_INT,TOTAL_CALCULADO,FLAG_CALIDAD,OBSERVACIONES
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2134.0,2.0,115.0,126.0,27.0,8.0,23.0,27.0,128.0,4.0,3.0,202.0,27.0,1.0,0.0,691.0,0.0,17.0,708.0,1398.0,2134,708.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2135.0,2.0,129.0,113.0,29.0,4.0,26.0,21.0,199.0,2.0,6.0,121.0,26.0,3.0,0.0,679.0,0.0,31.0,710.0,1263.0,2135,710.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2136.0,4.0,169.0,220.0,46.0,8.0,46.0,27.0,228.0,5.0,12.0,220.0,15.0,4.0,0.0,1000.0,0.0,51.0,1051.0,2163.0,2136,1051.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2137.0,3.0,147.0,188.0,27.0,5.0,51.0,20.0,260.0,12.0,9.0,312.0,46.0,2.0,0.0,1079.0,0.0,33.0,1112.0,1992.0,2137,1112.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2138.0,2.0,136.0,168.0,29.0,1.0,26.0,17.0,184.0,2.0,5.0,168.0,22.0,1.0,0.0,759.0,0.0,22.0,781.0,1356.0,2138,781.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2139.0,2.0,135.0,125.0,40.0,2.0,30.0,24.0,209.0,1.0,5.0,230.0,39.0,2.0,0.0,842.0,1.0,15.0,858.0,1410.0,2139,858.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2140.0,3.0,176.0,166.0,57.0,14.0,37.0,22.0,233.0,6.0,3.0,345.0,60.0,1.0,0.0,1120.0,0.0,33.0,1153.0,1811.0,2140,1153.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2141.0,2.0,110.0,97.0,24.0,2.0,21.0,15.0,109.0,1.0,1.0,128.0,13.0,4.0,0.0,525.0,1.0,17.0,543.0,824.0,2141,543.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2142.0,3.0,203.0,224.0,20.0,3.0,20.0,44.0,229.0,3.0,4.0,261.0,26.0,2.0,0.0,1039.0,0.0,17.0,1056.0,1691.0,2142,1056.0,VALIDO,
4.0,12.0,GUERRERO,21.0,TAXCO,56.0,TAXCO DE ALARCON,2143.0,1.0,94.0,71.0,12.0,2.0,17.0,6.0,128.0,1.0,2.0,103.0,20.0,1.0,0.0,457.0,0.0,11.0,468.0,726.0,2143,468.0,VALIDO,
