CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,SECCION_INT,TOTAL_CALCULADO,FLAG_CALIDAD,OBSERVACIONES
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2134,2,2,203,44,31,24,14,93,254,4,9,0,0,7,3,0,13,13,1,0,0,12,3,1,7,736,0,26,762,1463,2134,762,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2135,2,2,160,36,10,40,16,67,295,10,13,0,0,1,4,0,10,10,5,1,0,15,1,0,3,697,0,23,720,1246,2135,720,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2136,4,4,245,63,18,57,22,173,382,9,13,0,0,9,6,0,18,5,6,5,1,16,2,5,5,1060,0,30,1090,2171,2136,1090,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2137,3,3,282,74,23,46,25,131,407,19,20,0,0,0,13,0,22,26,4,0,0,6,4,2,9,1113,0,43,1156,1963,2137,1156,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2138,2,2,213,58,23,33,22,141,285,8,6,0,0,2,3,0,9,16,7,0,0,17,0,2,3,848,0,16,864,1357,2138,864,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2139,2,2,226,59,23,29,14,104,300,5,14,0,0,2,8,0,20,13,6,2,1,9,1,3,2,841,0,22,863,1404,2139,863,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2140,3,3,285,72,28,36,30,145,420,9,21,0,0,24,9,0,10,17,3,1,0,16,1,10,8,1145,0,40,1185,1789,2140,1185,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2141,2,2,152,41,8,20,10,74,184,0,15,0,0,1,6,0,4,9,1,2,0,10,0,0,5,542,0,15,557,827,2141,557,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2142,3,3,282,96,23,43,16,145,344,18,27,0,0,4,9,0,22,18,2,0,0,5,0,2,8,1064,0,36,1100,1687,2142,1100,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2143,1,1,106,37,6,13,4,45,168,2,15,0,0,0,2,0,9,6,1,1,0,6,0,2,1,424,0,14,438,687,2143,438,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2144,1,1,96,46,9,19,6,48,143,5,3,0,0,1,2,0,4,8,1,1,0,0,0,1,1,394,0,10,404,618,2144,404,VALIDO,
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2145,2,2,200,39,13,25,14,82,226,6,6,0,0,6,4,0,12,6,2,2,0,14,2,1,4,664,0,21,685,1222,2145,685,VALIDO,
