SECCION,DISTRITO_FEDERAL,CLAVE_MUNICIPIO,POBTOT,GRADO_PROM_ESCOLAR,POB_SIN_DERECHOHAB,POB_CON_DERECHOHAB,PCT_SIN_DERECHOHAB,PEA,PE_INACTIVA,POB_OCUPADA,POB_DESOCUPADA,NUM_VIVIENDAS_PARTICULARES,PROMEDIO_OCUPANTES,VPH_AUTOM,VPH_PC,VPH_CEL,VPH_INTERNET,ANIO_INEGI,FUENTE
2134,2,56,377,9.51,94,283,24.93,191,115,184,7,377,3.25,45,40,103,49,2020,INEGI_limpio.csv
2135,2,56,737,9.37,117,620,15.88,460,137,456,4,737,3.22,60,66,203,117,2020,INEGI_limpio.csv
2136,2,56,1635,8.62,259,1375,15.84,849,389,838,11,1635,3.5,151,93,420,183,2020,INEGI_limpio.csv
2137,2,56,3066,9.62,479,2585,15.62,1626,875,1583,43,3066,3.47,212,274,753,445,2020,INEGI_limpio.csv
2138,2,56,1370,10.67,105,1265,7.66,734,407,721,13,1370,3.43,72,151,348,219,2020,INEGI_limpio.csv
2139,2,56,1904,9.59,314,1590,16.49,955,603,929,26,1904,3.42,115,154,491,246,2020,INEGI_limpio.csv
2140,2,56,1970,10.01,332,1638,16.85,1067,546,1047,20,1970,3.34,104,194,505,298,2020,INEGI_limpio.csv
2141,2,56,844,11.09,148,696,17.54,490,241,487,3,844,3.18,82,127,239,149,2020,INEGI_limpio.csv
2142,2,56,2073,10.84,312,1759,15.05,1034,717,995,39,2073,3.19,152,229,555,321,2020,INEGI_limpio.csv
2143,2,56,719,11.12,96,623,13.35,349,277,345,4,719,3.18,53,103,190,147,2020,INEGI_limpio.csv
2144,2,56,457,9.66,101,356,22.1,226,165,223,3,457,3.41,28,43,114,70,2020,INEGI_limpio.csv
2145,2,56,178,9.69,47,130,26.4,93,58,93,0,178,3.49,16,15,43,23,2020,INEGI_limpio.csv
