ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD.1,PRD_MC.1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,NUM_VOTOS_NULOS.1,TOTAL_VOTOS.1,LISTA_NOMINAL.1,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA,SECCION_INT,TOTAL_CALC,DIFERENCIA
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2177,B,1,0,B,43,57,8,6,4,5,21,23,3,26,3,1,0,1,,,,,,,,1,1,0,0,1,1,,,205,1,12,218,401,Acta casilla,,,,2177,1.0,204.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2177,C,1,0,C01,46,57,7,16,1,5,21,32,0,24,5,1,1,1,,,,,,,,1,1,0,0,3,0,,,222,0,11,233,400,Acta casilla,,,,2177,0.0,222.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2178,B,1,0,B,68,35,17,2,5,1,10,21,1,17,3,29,0,0,,,,,,,,1,1,1,0,2,0,,,214,0,9,223,366,Acta casilla,,,,2178,0.0,214.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2179,B,1,0,B,26,51,12,11,3,4,22,42,2,24,0,17,2,0,,,,,,,,1,0,1,0,0,1,,,219,0,6,225,359,Acta casilla,,,,2179,1.0,218.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2180,B,1,0,B,47,92,11,16,5,17,6,14,0,26,0,2,0,0,,,,,,,,1,1,0,0,4,0,,,242,0,16,258,454,Acta casilla,,,,2180,0.0,242.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2180,C,1,0,C01,57,80,0,12,5,25,24,1,0,0,3,1,0,5,,,,,,,,0,0,0,0,0,0,,,213,0,22,235,453,Acta casilla,,,,2180,0.0,213.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2181,B,1,0,B,42,26,8,9,38,1,8,23,1,1,8,14,1,0,,,,,,,,0,0,0,0,0,0,,,180,0,18,198,443,Acta casilla,,,,2181,0.0,180.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2182,B,1,0,B,75,66,19,27,3,11,49,48,4,24,1,1,2,0,,,,,,,,1,0,0,0,0,0,,,331,0,11,342,575,Acta casilla,,,,2182,0.0,331.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2182,C,1,0,C01,104,69,28,19,2,17,31,40,3,30,6,1,5,0,,,,,,,,0,0,0,0,0,0,,,355,0,17,372,575,Acta casilla,,,,2182,0.0,355.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2183,B,1,0,B,50,21,5,23,3,5,20,26,3,19,2,1,7,0,,,,,,,,2,0,0,0,2,0,,,189,0,10,199,349,Acta casilla,,,,2183,0.0,189.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2183,E,1,0,E01,81,56,8,7,1,12,43,49,2,74,8,2,10,0,,,,,,,,1,1,0,1,2,1,,,359,0,7,366,585,Acta casilla,,,,2183,1.0,358.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2184,B,1,0,B,55,82,6,25,19,5,18,47,0,34,0,10,1,0,,,,,,,,2,1,0,0,0,0,,,305,0,14,319,505,Acta casilla,,,,2184,0.0,305.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2185,B,1,0,B,55,40,0,9,29,4,34,16,2,4,0,3,0,0,,,,,,,,3,0,0,0,0,1,,,200,0,9,209,398,Acta casilla,,,,2185,1.0,199.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2186,B,1,0,B,25,10,4,3,9,1,5,24,1,3,0,4,0,0,,,,,,,,1,0,0,0,0,0,,,90,0,13,103,150,Acta casilla,,,,2186,0.0,90.0
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2187,B,1,0,B,35,14,2,4,15,1,6,10,2,8,18,2,0,0,,,,,,,,1,0,0,0,0,0,,,118,0,4,122,187,Acta casilla,,,,2187,0.0,118.0
