"CLAVE
ENTIDAD","NOMBRE
ENTIDAD","CLAVE
DISTRITO",CABECERA DISTRITAL,"CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"LISTA
HOMBRES","LISTA
MUJERES","LISTA
NOMINAL"
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2134,689,772,1461
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2135,554,613,1167
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2136,1010,1123,2133
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2137,877,989,1866
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2138,600,685,1285
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2139,606,709,1315
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2140,809,918,1727
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2141,360,424,784
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2142,769,842,1611
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2143,287,360,647
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2144,289,316,605
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2145,566,624,1190
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2146,455,491,946
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2147,716,779,1495
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2148,971,1112,2083
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2149,477,541,1018
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2150,247,280,527
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2151,317,351,668
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2152,277,296,573
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2153,645,734,1379
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2154,350,414,764
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2155,729,880,1609
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2156,315,364,679
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2157,227,315,542
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2158,554,706,1260
12,GUERRERO,1,PUNGARABATO                                       ,56,TAXCO DE ALARCON,2159,626,766,1392
